Instancia;Repositorio;Tiempo Ejecución;Distancia;BKS;GAPBKS;;;;
EIL10;BruteForce;0,45633;159;159;0,0 %;;;;
EIL10;BranchAndBound;0,01052;159;159;0,0 %;;;;
EIL10;HeldKarp;0,00238;159;159;0,0 %;;;;
EIL10;NearestNeighbour;0,00002;177;159;11,3 %;;;;
EIL10;GeneticAlgorithm;0,00718;183;159;14,8 %;;;;
EIL10;TabuSearch;0,00387;161;159;1,0 %;;;;
EIL10;AntSystem1;0,01084;161;159;1,0 %;;;;
EIL10;AntSystem2;0,01182;161;159;1,0 %;;;;
EIL10;AntSystem3;0,01136;161;159;1,0 %;;;;
EIL20;HeldKarp;13,33845;243;243;0,0 %;;;;
EIL20;NearestNeighbour;0,00005;298;243;22,6 %;;;;
EIL20;GeneticAlgorithm;0,00984;428;243;76,0 %;;;;
EIL20;TabuSearch;0,02966;256;243;5,3 %;;;;
EIL20;AntSystem1;0,02939;255;243;4,8 %;;;;
EIL20;AntSystem2;0,02969;256;243;5,6 %;;;;
EIL20;AntSystem3;0,02931;259;243;6,4 %;;;;
EIL51;NearestNeighbour;0,00040;541;426;27,0 %;;;;
EIL51;GeneticAlgorithm;6,53233;515;426;21,0 %;;;;
EIL51;TabuSearch;0,45787;489;426;14,8 %;;;;
EIL51;AntSystem1;0,20292;473;426;11,0 %;;;;
EIL51;AntSystem2;0,20821;466;426;9,4 %;;;;
EIL51;AntSystem3;0,21444;508;426;19,2 %;;;;
BERLIN52;NearestNeighbour;0,00035;9192;7542;21,9 %;;;;
BERLIN52;GeneticAlgorithm;6,34909;9103;7542;20,7 %;;;;
BERLIN52;TabuSearch;0,47695;8455;7542;12,1 %;;;;
BERLIN52;AntSystem1;0,22115;8267;7542;9,6 %;;;;
BERLIN52;AntSystem2;0,23118;8140;7542;7,9 %;;;;
BERLIN52;AntSystem3;0,22290;8605;7542;14,1 %;;;;
EIL76;NearestNeighbour;0,00096;704;538;30,9 %;;;;
EIL76;GeneticAlgorithm;11,50582;802;538;49,0 %;;;;
EIL76;TabuSearch;1,50613;823;538;53,0 %;;;;
EIL76;AntSystem1;0,49681;593;538;10,1 %;;;;
EIL76;AntSystem2;0,51617;598;538;11,2 %;;;;
EIL76;AntSystem3;0,52440;630;538;17,0 %;;;;
BIER127;NearestNeighbour;0,00353;150126;118282;26,9 %;;;;
BIER127;GeneticAlgorithm;24,47189;218913;118282;85,1 %;;;;
BIER127;TabuSearch;6,92780;293470;118282;148,1 %;;;;
BIER127;AntSystem1;1,61947;131390;118282;11,1 %;;;;
BIER127;AntSystem2;1,68433;136338;118282;15,3 %;;;;
BIER127;AntSystem3;1,64037;146589;118282;23,9 %;;;;
A280;NearestNeighbour;0,03750;3200;2579;24,1 %;;;;232,786940213002
A280;GeneticAlgorithm;116,62289;13407;2579;419,9 %;;;;
A280;TabuSearch;78,35638;20094;2579;679,1 %;;;;
A280;AntSystem1;12,40709;3379;2579;31,0 %;;;;3,87978233688336
A280;AntSystem2;12,67218;3235;2579;25,4 %;;;;
A280;AntSystem3;12,69089;3810;2579;47,8 %;;;;
;;;;;;;;;1969
;;;;;;;;;32,8166666666667
